dataset,variant,accuracy_mean,accuracy_std,inference_us_mean,inference_us_std,train_ms_mean,train_ms_std,n_seeds,notes
sfcrime,Outlier multiplier=2.00,0.577,0.013802173741842274,0.0,0.0,0.0,0.0,5,2306 vertices
sfcrime,Outlier multiplier=3.00,0.577,0.02384323803513272,0.0,0.0,0.0,0.0,5,2480 vertices
sfcrime,Outlier multiplier=5.00,0.5824,0.018008331405213508,0.0,0.0,0.0,0.0,5,2548 vertices
sfcrime,Outlier multiplier=10.0,0.5831999999999999,0.01425482374496438,0.0,0.0,0.0,0.0,5,2555 vertices
wine,Full Pipeline (Ours),0.961111,0.03167144213641053,0.004166663999999999,0.001552823990566864,0.7758,0.028163806560903684,5,2D Buckets + Outlier + HalfPlane
wine,Without 2D Buckets Grid,0.9555554,0.04648112586631265,0.17546119999999998,0.04252725628582216,0.0,0.0,5,DT locate walk (no O(1) grid)
wine,Without Outlier Removal,0.9388886,0.030428863613352355,0.0030166639999999996,0.0006237957435170585,0.5636,0.010285912696498986,5,No Phase 1 cleanup
wine,Nearest Vertex Only (1-NN),0.9555554,0.04648112586631265,0.46366120000000005,0.030170635222016785,0.0,0.0,5,No half-plane boundary
wine,Outlier multiplier=1.50,0.9555554,0.04648112586631265,0.0,0.0,0.0,0.0,5,134 vertices
wine,Outlier multiplier=2.00,0.961111,0.03167144213641053,0.0,0.0,0.0,0.0,5,138 vertices
wine,Outlier multiplier=3.00,0.961111,0.03167144213641053,0.0,0.0,0.0,0.0,5,140 vertices
wine,Outlier multiplier=5.00,0.9555554,0.03167148598976689,0.0,0.0,0.0,0.0,5,140 vertices
wine,Outlier multiplier=10.0,0.9555554,0.03167148598976689,0.0,0.0,0.0,0.0,5,140 vertices
cancer,Full Pipeline (Ours),0.9438596,0.02112533754286543,0.002924558,0.00045124607307986614,2.0588,0.03870012919875075,5,2D Buckets + Outlier + HalfPlane
cancer,Without 2D Buckets Grid,0.9438592,0.007845915319451264,0.180044,0.013277531830125663,0.0,0.0,5,DT locate walk (no O(1) grid)
